681	107	591	57	661	502	400	383
904	307	791	534	725	596	410	540
397	429	98	406	590	641	675	23
796	386	859	589	665	260	740	624
840	181	179	93	643	616	842	811
808	251	561	279	294	428	918	75
499	783	157	237	470	365	806	45
633	921	99	467	130	220	76	263
834	852	286	551	131	43	703	939
698	520	938	465	907	301	186	26
18	220	829	76	894	113	152	627
660	215	33	510	821	782	108	798
5	350	689	607	698	849	770	365
920	6	731	566	684	256	537	841
230	98	419	814	281	13	367	764
859	729	280	462	413	538	165	148
304	249	929	68	369	508	193	253
795	715	584	243	292	446	880	469
278	57	510	533	31	665	885	843
454	323	213	428	674	435	447	700
488	394	629	45	460	103	245	898
763	476	803	838	608	850	387	558
532	815	595	259	517	308	156	294
76	484	220	610	586	867	617	741
488	793	759	503	276	230	819	684
396	10	802	596	229	210	435	791
519	42	158	261	16	92	79	574
44	692	255	633	252	174	656	9
294	116	848	342	221	756	260	846
85	916	870	22	797	553	738	357
106	92	781	190	643	357	137	518
252	675	426	191	37	501	473	725
220	403	522	205	727	733	356	581
406	684	471	184	381	547	289	455
250	556	811	725	203	114	37	315
890	448	701	845	638	502	43	499
928	913	565	184	120	209	489	307
668	190	435	910	301	29	804	37
481	546	153	828	601	75	533	122
498	579	779	141	904	644	242	913
